wadg,nsg_random,nsg_no_random
55244,51053,120283
98822,116233,132848
104056,107194,146738
140281,99637,143929
90647,108507,167829
87304,99331,191073
52950,84135,140800
109631,94352,166062
49428,51529,99773
133008,126528,141678
70500,104879,191818
136289,133284,164424
92888,95327,157169
37535,49189,231211
90940,113339,171204
89395,74383,151864
97258,102159,181065
62283,75209,106700
76588,75356,120515
90807,111708,141986
57194,57261,108906
148286,113101,157913
146170,109398,195196
83678,74645,150361
72078,85351,163272
79636,60404,145691
116490,96503,204030
86356,53023,128099
51305,84322,130385
139270,139237,141763
108001,95499,132422
114452,87666,174866
74288,91338,146611
135434,144837,159264
176067,115157,206086
125897,131251,191231
74407,65326,120166
95833,99230,131476
62313,29590,133028
140193,114951,141533
108602,116941,153644
97614,104132,117416
124223,114068,142317
74576,117344,209923
76716,90890,115311
142707,118615,146784
111560,116365,154848
66304,68932,121442
63149,79650,118596
126896,127461,135845
76673,100476,155758
110168,97390,127745
97101,88462,178620
141650,151945,156069
110336,136011,181549
68504,122434,175042
123734,102462,155026
134043,127978,153641
114281,112465,112465
